user_id,day_of_week,meal_name,food_id,target_quantity
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 1 (PRE),whey-protein-crudo,30.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 1 (PRE),avena-sgocciolato,60.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 1 (PRE),mirtilli-crudo,100.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 1 (PRE),pasta-di-cacao-confezionato,30.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 1 (PRE),hydra-performance,30.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 1 (PRE),greens,10.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,INTRA,ciclodestrine-hbcd-sgocciolato,40.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,INTRA,essential-amino-acids,10.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,INTRA,creatine-monohydrate-sgocciolato,5.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 2 (POST),riso-jasmine-sgocciolato,80.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 2 (POST),petto-di-pollo-crudo-crudo,100.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 2 (POST),verdura-generico,200.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 2 (POST),magnesio-bisglicinato,2.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 3,yogurt-greco-0-crudo,200.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 3,mela-crudo,200.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 4,carne-rossa-magra-cruda-crudo,100.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 4,verdura-generico,200.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 4,olio-evo-confezionato,10.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 5,whey-protein-crudo,50.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,LUN,MEAL 5,sleep-aid,2.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 1 (PRE),uova-intere-crudo,3.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 1 (PRE),avena-sgocciolato,60.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 1 (PRE),mirtilli-crudo,100.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 1 (PRE),albume-crudo,100.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 1 (PRE),hydra-performance,30.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 1 (PRE),greens,10.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,INTRA,ciclodestrine-hbcd-sgocciolato,40.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,INTRA,essential-amino-acids,10.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,INTRA,creatine-monohydrate-sgocciolato,5.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 2 (POST),pasta-sgocciolato,80.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 2 (POST),petto-di-pollo-crudo-crudo,100.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 2 (POST),verdura-generico,200.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 2 (POST),magnesio-bisglicinato,2.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 3,albume-crudo,200.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 3,mela-crudo,200.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 4,petto-di-pollo-crudo-crudo,100.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 4,verdura-generico,200.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 4,olio-evo-confezionato,10.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 5,whey-protein-crudo,50.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MAR,MEAL 5,sleep-aid,2.0
3b8f612d-1dbf-4d3e-a7fd-473495c1ff17,MER,MEAL 1 (PRE),whey-protein-crudo,30.0
